Mon Apr 11 16:44:17 2016    postProcess.postProcess_profile.txt

         1780 function calls (1735 primitive calls) in 0.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        4    0.000    0.000    0.000    0.000 optparse.py:833(isbasestring)
        4    0.000    0.000    0.000    0.000 optparse.py:981(_check_conflict)
        1    0.000    0.000    0.000    0.000 optparse.py:1243(_create_option_list)
        1    0.000    0.000    0.000    0.000 optparse.py:1268(_init_parsing_state)
        7    0.000    0.000    0.000    0.000 {range}
       13    0.000    0.000    0.000    0.000 {ord}
        4    0.000    0.000    0.000    0.000 optparse.py:636(_check_type)
        4    0.000    0.000    0.000    0.000 optparse.py:679(_check_dest)
        4    0.000    0.000    0.000    0.000 optparse.py:630(_check_action)
        4    0.000    0.000    0.000    0.000 optparse.py:694(_check_const)
        9    0.000    0.000    0.000    0.000 {max}
        3    0.000    0.000    0.000    0.000 optparse.py:244(dedent)
        1    0.000    0.000    0.000    0.000 optparse.py:1655(_get_encoding)
        6    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
        1    0.000    0.000    0.000    0.000 os.py:424(__getitem__)
        4    0.000    0.000    0.000    0.000 optparse.py:709(_check_callback)
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
        3    0.000    0.000    0.000    0.000 optparse.py:240(indent)
        1    0.000    0.000    0.000    0.000 {sys.exit}
        4    0.000    0.000    0.000    0.000 optparse.py:666(_check_choice)
        8    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 optparse.py:765(check_value)
        1    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.000    0.000 optparse.py:1639(format_epilog)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        5    0.000    0.000    0.000    0.000 optparse.py:753(takes_value)
        1    0.000    0.000    0.000    0.000 optparse.py:944(_create_option_mappings)
        1    0.000    0.000    0.000    0.000 optparse.py:377(format_heading)
        1    0.000    0.000    0.000    0.000 optparse.py:960(set_conflict_handler)
        1    0.000    0.000    0.000    0.000 optparse.py:756(get_opt_string)
        4    0.000    0.000    0.000    0.000 optparse.py:700(_check_nargs)
        9    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 optparse.py:1313(_get_all_options)
        1    0.000    0.000    0.000    0.000 optparse.py:225(set_parser)
        1    0.000    0.000    0.000    0.000 sre_parse.py:216(tell)
        8    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 optparse.py:273(format_epilog)
        3    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 optparse.py:1362(_get_args)
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 optparse.py:965(set_description)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 optparse.py:772(convert_value)


